filesystem,record_size,scenario,round,profile,phase,occupancy_target_pct,fs_used_pct_before,fs_used_pct_after,valid,run_state,invalid_reasons,java_exit_code,target_ops,measure_sec,drain_timeout_sec,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,max_in_flight_records,max_catch_up_records,max_schedule_lag_limit_ms,sent_requests,sent_ops,ack_window_requests,ack_window_ops,eventual_ack_requests,eventual_ack_ops,outstanding_at_end,failed_requests,unresolved_after_drain,latency_dropped_samples,backpressure_wait_count,backpressure_wait_ms,max_observed_outstanding,catch_up_resets,catch_up_records_skipped,max_schedule_lag_ms,ack_stall_count,ack_stall_total_sec,ack_stall_max_sec,consumer_records,producer_acked_records,consumer_record_delta,consumer_drain_completed,malformed_headers,payload_crc_errors,sequence_gaps,duplicate_records,out_of_order_records,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,drain_time_sec,drain_completed,app_avg_ms,app_p50_ms,app_p90_ms,app_p99_ms,app_p999_ms,app_max_ms,mapper_util_avg,mapper_await_avg,mapper_wkB_s_avg,raw_util_avg,raw_await_avg,raw_wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,topics_created,topics_failed,final_topic_count,topic_first_failure_elapsed_ms,topic_first_failure,raw_output_path,iostat_path,vmstat_path
ext4,1024,scenario_a,1,latency,occupancy,20,19.997876509599273,27.011724136984686,True,BACKPRESSURED,,0,20000,60,180,20,8,False,False,5,1000,10,100,1151718,19195.3,1151713,19195.22,1151718,19195.3,0,0,0,0,18353,51108.03,1002,3792,118204,2357.83,1,1,1,-1,-1,0,True,0,0,0,0,0,1151718,19195.3,96.0,1479993,0,0.03,True,2.84,0.32,0.58,14.18,86.49,2402.92,9.649833333333333,53958.0545,16288.938666666667,10.583333333333334,58.09316666666667,16443.904,39.43333333333333,26.666666666666668,31.0,2.65,False,disk await avg 53958.05 ms >= 5.00 ms,0,0,1,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_1024B_20000ops_occupancy_used20pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used20pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used20pct_vmstat.txt.gz
ext4,1024,scenario_a,1,latency,occupancy,40,39.99853173846282,39.884055365809814,True,STALLED,,0,20000,60,180,20,8,False,False,5,1000,10,100,1131518,18858.63,1131497,18858.28,1131518,18858.63,0,0,0,0,22520,57228.99,1003,4011,127451,3342.86,1,3,3,-1,-1,0,True,0,0,0,0,0,1131518,18858.63,94.3,1470635,0,0.03,True,3.92,0.35,0.8,17.91,72.35,3399.72,13.889666666666667,65997.35566666667,21582.165333333334,13.87,43.024166666666666,22021.461333333333,39.13333333333333,28.016666666666666,27.4,5.2,False,cpu iowait avg 5.20% >= 5.00% | disk await avg 65997.36 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_1024B_20000ops_occupancy_used40pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used40pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used40pct_vmstat.txt.gz
ext4,1024,scenario_a,1,latency,occupancy,60,60.000061749316984,59.97664846662724,True,BACKPRESSURED,,0,20000,60,180,20,8,False,False,5,1000,10,100,1118047,18634.12,1118033,18633.88,1118047,18634.12,0,0,0,0,47154,76347.9,1004,5227,158567,603.1,0,0,0,-1,-1,0,True,0,0,0,0,0,1118047,18634.12,93.2,1438961,0,0.0,True,8.77,0.46,7.83,190.42,638.0,790.61,13.600166666666667,19168.464333333333,23258.282666666666,27.0445,11.508091958157882,37640.53333333333,40.666666666666664,30.766666666666666,25.1,3.033333333333333,False,disk await avg 19168.46 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_1024B_20000ops_occupancy_used60pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used60pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used60pct_vmstat.txt.gz
ext4,1024,scenario_a,1,latency,occupancy,80,79.99702917174955,80.23388926014712,True,BACKPRESSURED,,0,20000,60,180,20,8,False,False,5,1000,10,100,1164688,19411.47,1164681,19411.35,1164688,19411.47,0,0,0,0,40737,57577.12,1003,4893,113075,877.59,0,0,0,-1,-1,0,True,0,0,0,0,0,1164688,19411.47,97.1,1484598,0,0.02,True,4.15,0.43,2.24,74.26,499.67,1065.35,16.19333333333333,209085.40666666665,24037.54666666667,66.64666666666666,2.0405667813454222,99641.856,42.9,29.166666666666668,23.85,3.7333333333333334,False,disk await avg 209085.41 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_1024B_20000ops_occupancy_used80pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used80pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used80pct_vmstat.txt.gz
ext4,1024,scenario_b,1,latency,occupancy,20,19.997464847486047,27.08371354903513,True,BACKPRESSURED,,0,20000,60,180,20,8,True,False,5,1000,10,100,1197687,19961.45,1197681,19961.35,1197687,19961.45,0,0,0,0,33050,51843.83,1004,4840,103038,573.19,0,0,0,1494661,1494661,0,True,0,0,0,0,0,1197687,19961.45,99.8,1494661,0,0.01,True,1.34,0.42,1.76,17.94,91.57,114.33,8.686666666666667,282.53683333333333,12038.997333333333,7.833333333333333,69.8745,12135.082666666667,45.916666666666664,25.983333333333334,27.266666666666666,0.48333333333333334,False,disk await avg 282.54 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_b_1024B_20000ops_occupancy_used20pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used20pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used20pct_vmstat.txt.gz
ext4,1024,scenario_b,1,latency,occupancy,40,39.88444987533499,39.75654302623797,True,STALLED,,0,20000,60,180,20,8,True,False,5,1000,10,100,1115343,18589.05,1115337,18588.95,1115343,18589.05,0,0,0,0,32691,73218.56,1004,5200,153769,3001.97,1,2,2,1443730,1443730,0,True,0,0,0,0,0,1115343,18589.05,92.9,1443730,0,0.03,True,5.72,0.42,2.03,56.54,1132.06,3122.92,14.273333333333333,583.0551666666667,21927.082666666665,14.493333333333334,87.13633333333333,22102.698666666667,41.233333333333334,25.483333333333334,28.716666666666665,4.25,False,disk await avg 583.06 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_b_1024B_20000ops_occupancy_used40pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used40pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used40pct_vmstat.txt.gz
ext4,1024,scenario_b,1,latency,occupancy,60,59.97704297615241,59.95551647814829,True,BACKPRESSURED,,0,20000,60,180,20,8,True,False,5,1000,10,100,1124172,18736.2,1124163,18736.05,1124172,18736.2,0,0,0,0,58111,87683.61,1004,6738,162417,1549.99,1,1,1,1434475,1434475,0,True,0,0,0,0,0,1124172,18736.2,93.7,1434475,0,0.0,True,7.74,0.48,5.63,110.33,1345.15,1749.73,19.72,70648.44783333334,24686.421333333332,72.02,1.8405101478850368,104944.128,40.13333333333333,30.4,23.066666666666666,6.15,False,cpu iowait avg 6.15% >= 5.00% | disk await avg 70648.45 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_b_1024B_20000ops_occupancy_used60pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used60pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used60pct_vmstat.txt.gz
ext4,1024,scenario_b,1,latency,occupancy,80,80.2342837696723,80.09913852841773,True,BACKPRESSURED,,0,20000,60,180,20,8,True,False,5,1000,10,100,1149280,19154.67,1149272,19154.53,1149280,19154.67,0,0,0,0,32825,60205.06,1003,6596,140694,560.36,0,0,0,1456188,1456188,0,True,0,0,0,0,0,1149280,19154.67,95.8,1456188,0,0.0,True,4.7,0.44,3.12,82.78,458.5,904.06,15.639166666666666,24612.649166666666,21554.517333333333,77.70333333333333,61.21374660449582,68513.792,41.85,27.75,26.483333333333334,3.6333333333333333,False,disk await avg 24612.65 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_b_1024B_20000ops_occupancy_used80pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used80pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used80pct_vmstat.txt.gz
ext4,10240,scenario_a,1,latency,occupancy,20,19.997876509599273,26.75548162408937,True,BACKPRESSURED,,0,2000,60,180,20,8,False,False,5,1000,10,100,116769,1946.15,116769,1946.15,116769,1946.15,0,0,0,0,8,12942.72,1000,16,4277,1621.58,1,1,1,-1,-1,0,True,0,0,0,0,0,116769,1946.15,97.3,155711,0,0.02,True,18.89,0.63,0.76,470.05,2060.06,2111.54,9.933333333333334,22639.437166666667,21038.250666666667,13.786666666666667,44.58383333333333,21168.128,3.9,4.15,89.05,2.3666666666666667,False,disk await avg 22639.44 ms >= 5.00 ms,0,0,1,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_10240B_2000ops_occupancy_used20pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used20pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used20pct_vmstat.txt.gz
ext4,10240,scenario_a,1,latency,occupancy,40,39.99830875481816,40.05978363039329,True,NOT_SATURATED,,0,2000,60,180,20,8,False,False,5,1000,10,100,120000,2000.0,120000,2000.0,120000,2000.0,0,0,0,0,0,0.0,864,8,1104,554.67,0,0,0,-1,-1,0,True,0,0,0,0,0,120000,2000.0,100.0,158896,0,0.02,True,2.98,0.63,0.79,69.76,381.24,443.63,14.433333333333334,76888.20033333334,23091.370666666666,15.08,56.98083333333333,23536.298666666666,1.3666666666666667,3.15,92.38333333333334,2.55,False,disk await avg 76888.20 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_10240B_2000ops_occupancy_used40pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used40pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used40pct_vmstat.txt.gz
