profile,phase,occupancy_target_pct,filesystem,record_size,scenario,total_rounds,valid_rounds,invalid_rounds,run_states,target_ops_mean,sent_ops_mean,ack_window_ops_mean,eventual_ack_ops_mean,outstanding_at_end_mean,drain_time_sec_mean,drain_completed_rounds,requests_mean,app_avg_mean,app_avg_stdev,app_avg_cv_pct,app_p50_mean,app_p90_mean,app_p99_mean,app_p99_stdev,app_p99_cv_pct,app_max_mean,mapper_util_mean,mapper_await_mean,raw_util_mean,raw_await_mean,cpu_iowait_mean,bottleneck_rounds
latency,occupancy,20,ext4,1024,scenario_a,1,1,0,BACKPRESSURED,20000,19195.3,19195.22,19195.3,0,0.03,1,1151718,2.84,0.0,0.0,0.32,0.58,14.18,0.0,0.0,2402.92,9.649833333333333,53958.0545,10.583333333333334,58.09316666666667,2.65,0
latency,occupancy,40,ext4,1024,scenario_a,1,1,0,STALLED,20000,18858.63,18858.28,18858.63,0,0.03,1,1131518,3.92,0.0,0.0,0.35,0.8,17.91,0.0,0.0,3399.72,13.889666666666667,65997.35566666667,13.87,43.024166666666666,5.2,0
latency,occupancy,60,ext4,1024,scenario_a,1,1,0,BACKPRESSURED,20000,18634.12,18633.88,18634.12,0,0.0,1,1118047,8.77,0.0,0.0,0.46,7.83,190.42,0.0,0.0,790.61,13.600166666666667,19168.464333333333,27.0445,11.508091958157882,3.033333333333333,0
latency,occupancy,80,ext4,1024,scenario_a,1,1,0,BACKPRESSURED,20000,19411.47,19411.35,19411.47,0,0.02,1,1164688,4.15,0.0,0.0,0.43,2.24,74.26,0.0,0.0,1065.35,16.19333333333333,209085.40666666665,66.64666666666666,2.0405667813454222,3.7333333333333334,0
latency,occupancy,20,ext4,1024,scenario_b,1,1,0,BACKPRESSURED,20000,19961.45,19961.35,19961.45,0,0.01,1,1197687,1.34,0.0,0.0,0.42,1.76,17.94,0.0,0.0,114.33,8.686666666666667,282.53683333333333,7.833333333333333,69.8745,0.48333333333333334,0
latency,occupancy,40,ext4,1024,scenario_b,1,1,0,STALLED,20000,18589.05,18588.95,18589.05,0,0.03,1,1115343,5.72,0.0,0.0,0.42,2.03,56.54,0.0,0.0,3122.92,14.273333333333333,583.0551666666667,14.493333333333334,87.13633333333333,4.25,0
latency,occupancy,60,ext4,1024,scenario_b,1,1,0,BACKPRESSURED,20000,18736.2,18736.05,18736.2,0,0.0,1,1124172,7.74,0.0,0.0,0.48,5.63,110.33,0.0,0.0,1749.73,19.72,70648.44783333334,72.02,1.8405101478850368,6.15,0
latency,occupancy,80,ext4,1024,scenario_b,1,1,0,BACKPRESSURED,20000,19154.67,19154.53,19154.67,0,0.0,1,1149280,4.7,0.0,0.0,0.44,3.12,82.78,0.0,0.0,904.06,15.639166666666666,24612.649166666666,77.70333333333333,61.21374660449582,3.6333333333333333,0
latency,occupancy,20,ext4,10240,scenario_a,1,1,0,BACKPRESSURED,2000,1946.15,1946.15,1946.15,0,0.02,1,116769,18.89,0.0,0.0,0.63,0.76,470.05,0.0,0.0,2111.54,9.933333333333334,22639.437166666667,13.786666666666667,44.58383333333333,2.3666666666666667,0
latency,occupancy,40,ext4,10240,scenario_a,1,1,0,NOT_SATURATED,2000,2000.0,2000.0,2000.0,0,0.02,1,120000,2.98,0.0,0.0,0.63,0.79,69.76,0.0,0.0,443.63,14.433333333333334,76888.20033333334,15.08,56.98083333333333,2.55,0
latency,occupancy,60,ext4,10240,scenario_a,1,1,0,BACKPRESSURED,2000,1945.58,1945.5,1945.58,0,0.03,1,116735,16.11,0.0,0.0,0.6,0.76,54.74,0.0,0.0,2036.45,15.9155,9929.406666666668,77.7695,49.86446380958994,9.483333333333333,0
latency,occupancy,80,ext4,10240,scenario_a,1,1,0,NOT_SATURATED,2000,1995.73,1995.7,1995.73,0,0.05,1,119744,1.85,0.0,0.0,0.58,0.72,8.38,0.0,0.0,328.35,17.466666666666665,789.3249999999999,87.10266666666666,80.33506311075182,12.85,0
latency,occupancy,20,ext4,10240,scenario_b,1,1,0,BACKPRESSURED,2000,1973.0,1972.95,1973.0,0,0.02,1,118380,12.42,0.0,0.0,0.57,0.71,292.41,0.0,0.0,1612.94,9.873333333333333,345480.7141666666,14.58,93.72566666666667,2.566666666666667,0
latency,occupancy,40,ext4,10240,scenario_b,1,1,0,STALLED,2000,1847.12,1847.12,1847.12,0,0.02,1,110827,48.0,0.0,0.0,0.6,0.77,2543.62,0.0,0.0,3085.2,13.44,248944.5323333333,13.459999999999999,107.48916666666666,6.5,0
latency,occupancy,60,ext4,10240,scenario_b,1,1,0,STALLED,2000,1844.98,1828.32,1844.98,1000,3.96,1,110699,80.17,0.0,0.0,0.58,0.75,2835.28,0.0,0.0,6354.12,8.986666666666666,12378.722,69.78666666666666,24.393862312763847,11.816666666666666,0
