  start: 0x000000000, len 0x400000, cap 0x400000, wptr 0x3ffcd1 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x000400000, len 0x400000, cap 0x400000, wptr 0x0b33ce reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x000800000, len 0x400000, cap 0x400000, wptr 0x3ffff9 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x000c00000, len 0x400000, cap 0x400000, wptr 0x03d019 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x001000000, len 0x400000, cap 0x400000, wptr 0x3ffd69 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x001400000, len 0x400000, cap 0x400000, wptr 0x1f6549 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x001800000, len 0x400000, cap 0x400000, wptr 0x3ffff9 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x001c00000, len 0x400000, cap 0x400000, wptr 0x3ffff9 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x002000000, len 0x400000, cap 0x400000, wptr 0x3ffff9 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x002400000, len 0x400000, cap 0x400000, wptr 0x3ffff9 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x002800000, len 0x400000, cap 0x400000, wptr 0x3ffff9 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x002c00000, len 0x400000, cap 0x400000, wptr 0x142a19 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x003000000, len 0x400000, cap 0x400000, wptr 0x3ffe11 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x003400000, len 0x400000, cap 0x400000, wptr 0x3ffff9 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x003800000, len 0x400000, cap 0x400000, wptr 0x3ffea1 reset:0 non-seq:0, zcond: 2(oi) [type: 2(SEQ_WRITE_REQUIRED)]
  start: 0x003c00000, len 0x400000, cap 0x400000, wptr 0x000000 reset:0 non-seq:0, zcond: 1(em) [type: 2(SEQ_WRITE_REQUIRED)]
