procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 4528796   5896 362692    0    0   223  1488 1823    3  2  3 95  0  0  0
 1  0      0 4527956   5928 362768    0    0     0   100 1548 1233  1  1 99  0  0  0
 2  0      0 4524680   5952 362768    0    0     0   496 1560 1108  1  1 98  0  0  0
 1  0      0 4440288   6112 369048    0    0  6480    32 6657 6461 16 10 71  3  0  0
 4  0      0 4408100   6136 372876    0    0   324    80 6925 10424 43 20 37  1  0  0
11  0      0 4383656   6152 374556    0    0     0    96 7756 9775 34 25 41  0  0  0
 5  0      0 4340564   6184 376388    0    0     0   212 7471 8781 34 22 43  0  0  0
 9  0      0 4308056   6216 378348    0    0     4   276 8501 9084 50 16 33  0  0  0
 2  0      0 4301784   6232 380032    0    0     0   108 6989 8269 41 18 42  0  0  0
 7  0      0 4290444   6248 381940    0    0     0    96 7402 8452 37 20 43  0  0  0
 6  0      0 4283136   6264 383564    0    0     0    96 6950 8053 25 27 48  0  0  0
10  0      0 4273336   6328 385144    0    0    68   376 6168 8488 20 36 43  1  0  0
 7  0      0 4267540   6356 386668    0    0     0   432 6294 8683 14 36 50  0  0  0
 1  0      0 4258712   6372 387928    0    0     0    96 5444 8107 12 41 46  0  0  0
 6  0      0 4244596   6388 389436    0    0     0    96 6022 8510 12 37 51  0  0  0
 9  0      0 4240312   6540 391048    0    0   136    96 6994 9284 24 29 46  1  0  0
 4  0      0 4232500   6572 392640    0    0     0   212 6951 9166 30 29 40  0  0  0
 8  0      0 4222924   6596 394144    0    0     0   444 6512 9097 12 35 52  1  0  0
 3  0      0 4212088   6612 395964    0    0     0    96 7157 10403 28 20 52  0  0  0
 1  0      0 4205284   6628 397356    0    0     0    96 5686 8835  7 32 60  1  0  0
 1  0      0 4186636   6644 399328    0    0     0    96 7543 10858 36 19 45  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 4185628   6676 400664    0    0     0   200 5230 8325  6 33 61  0  0  0
 9  0      0 4185124   6700 402212    0    0     0   172 6241 9401 22 27 51  1  0  0
12  0      0 4188640   6716 403764    0    0     0    96 5657 8850  6 33 61  0  0  0
13  0      0 4178812   6732 405124    0    0     0    96 5668 8850 11 28 60  1  0  0
 7  0      0 4169740   6748 406500    0    0     0   108 5114 8159  5 34 61  0  0  0
 6  0      0 4168984   6780 407996    0    0     0   212 5193 8341  4 38 58  1  0  0
 4  0      0 4168228   6804 409212    0    0     0   136 5126 8198  5 35 59  0  0  0
 6  0      0 4167724   6820 410516    0    0     0   268 5026 8175  3 37 59  1  0  0
 7  0      0 4168280   6836 411924    0    0     0    96 5228 8385  4 35 61  0  0  0
 7  0      0 4169132   6852 413396    0    0     0    92 4877 8077  3 38 59  0  0  0
 7  0      0 4168900   6884 414632    0    0     0   192 5245 8417  4 38 58  1  0  0
