procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 4509712   4568 362456    0    0   257  1874 2461    5  3  7 90  1  0  0
 1  0      0 4510840   4568 362508    0    0     0    44 1273 1019  0  1 99  0  0  0
 2  0      0 4510588   4576 362508    0    0     0   152 1305  982  0  1 99  0  0  0
 0  1      0 4439736   4728 368732    0    0  6400   360 7044 6574 15 10 72  2  0  0
 9  0      0 4405492   4728 372588    0    0   408    28 7345 11021 34 22 44  1  0  0
12  0      0 4388104   4728 374272    0    0     0    16 6620 8636 33 28 40  0  0  0
16  0      0 4337204   4728 376052    0    0     0   140 7728 8932 29 24 47  0  0  0
 6  0      0 4323344   4736 377944    0    0     0    76 8359 9022 38 20 42  0  0  0
20  0      0 4290584   4736 379620    0    0     0   196 6735 7773 31 19 50  0  0  0
 6  0      0 4276472   4736 380984    0    0     0    16 6152 7358 18 23 58  0  0  0
15  0      0 4271432   4744 382668    0    0    68   212 6715 8052 25 28 47  1  0  0
 8  0      0 4265888   4744 384048    0    0     0    68 5408 8290 15 39 46  0  0  0
 9  0      0 4261604   4744 385432    0    0     0    16 5460 8071 13 39 48  0  0  0
 5  0      0 4256060   4744 386808    0    0     0   144 5616 8192  9 41 50  0  0  0
 7  0      0 4250768   4744 388136    0    0     0    16 5413 7975  8 41 50  0  0  0
 5  1      0 4228844   4752 389508    0    0     0    64 5469 8284 12 39 49  0  0  0
 2  0      0 4226324   4752 391288    0    0     0   108 7314 9519 35 26 38  0  0  0
11  0      0 4223300   4752 392672    0    0     0    16 5847 8699 13 32 55  0  0  0
 9  0      0 4215236   4752 393968    0    0     0   176 5151 7509 13 22 65  0  0  0
 1  0      0 4205408   4752 395272    0    0     0    16 5414 8109 13 25 62  0  0  0
 2  1      0 4199108   4760 396740    0    0     0    44 5879 8945  5 31 63  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  1      0 4193816   4760 398428    0    0     0   108 6805 9795 21 26 53  0  0  0
 8  0      0 4193312   4760 399856    0    0     0    16 5810 8826 11 31 57  0  0  0
 4  0      0 4183736   4760 401516    0    0     0   152 6317 9342 15 29 55  0  0  0
 7  0      0 4182224   4760 402892    0    0     0    20 5857 8996  5 33 63  0  0  0
 7  2      0 4181216   4768 404152    0    0     0    84 4884 7817  3 31 65  0  0  0
10  0      0 4179704   4772 405340    0    0     0   148 5141 8133  4 34 61  1  0  0
 8  0      0 4177688   4772 406948    0    0     0    16 5335 8529  4 37 59  0  0  0
 3  0      0 4176932   4772 408248    0    0     0    16 5351 8399  3 34 63  0  0  0
 9  0      0 4175420   4772 409728    0    0     0    24 5609 8765  4 34 62  0  0  0
 6  0      0 4174664   4780 411016    0    0     0   152 5210 8357  3 37 60  0  0  0
14  0      0 4173404   4780 412376    0    0     0    28 5184 8274  3 36 60  0  0  0
 7  0      0 4172144   4780 413892    0    0     0    16 5104 8312  3 37 59  0  0  0
10  0      0 4170884   4780 415388    0    0     0    16 5954 9336  4 31 65  0  0  0
10  0      0 4169876   4780 416624    0    0     0    16 5149 8220  5 35 59  0  0  0
 6  1      0 4168112   4784 418124    0    0     0   192 5247 8520  5 36 59  1  0  0
 6  0      0 4166852   4788 419404    0    0     0    20 4882 7918  3 39 58  0  0  0
 4  0      0 4165340   4788 420920    0    0     0    16 5567 8720  3 34 63  0  0  0
 4  0      0 4164080   4788 422160    0    0     0    16 4965 8029  3 38 59  0  0  0
 2  0      0 4162568   4788 423600    0    0     0   148 5386 8694  3 36 60  0  0  0
 3  1      0 4159544   4796 424984    0    0     8   164 5419 8672  4 32 63  1  0  0
 7  0      0 4157528   4796 426792    0    0   296    16 4950 8067  3 41 54  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 4156016   4796 428092    0    0     0    16 5194 8320  3 37 60  0  0  0
 5  0      0 4154000   4796 429636    0    0     0    16 5784 8931  3 33 64  0  0  0
 7  0      0 4153496   4800 430908    0    0     0   236 4919 8004  3 34 63  0  0  0
 3  1      0 4151984   4808 432240    0    0     0   208 4886 7979  3 41 56  0  0  0
 3  0      0 4150472   4808 433636    0    0     0    16 5089 8262  3 36 60  1  0  0
 4  0      0 4148960   4808 434808    0    0     0    16 5229 8235  3 36 61  0  0  0
 0  0      0 4147700   4808 436432    0    0     0    16 5219 8341  3 34 63  0  0  0
 6  0      0 4146188   4808 437812    0    0     0    16 5380 8602  3 34 63  0  0  0
 6  0      0 4144676   4816 439016    0    0     0   200 5148 8344  3 36 60  1  0  0
 5  0      0 4143416   4816 440656    0    0     0    16 5358 8485  4 35 62  0  0  0
 6  0      0 4142156   4816 441928    0    0     0    20 5341 8516  3 36 61  0  0  0
 4  0      0 4140896   4816 443360    0    0     0    16 5198 8302  3 38 60  0  0  0
 7  0      0 4139636   4816 444756    0    0     0   168 4910 8051  3 38 58  0  0  0
 7  1      0 4138124   4824 445864    0    0     0   204 5038 8222  3 38 58  1  0  0
 5  0      0 4136612   4824 447292    0    0     0    16 5262 8388  3 34 63  0  0  0
11  0      0 4133840   4824 448868    0    0     0    16 5198 8364  3 37 60  0  0  0
 3  0      0 4132580   4824 450076    0    0     0    16 4873 8061  3 40 57  0  0  0
 6  0      0 4131320   4824 451532    0    0     0    16 5348 8572  3 35 61  0  0  0
 5  1      0 4129052   4832 452940    0    0     0   164 5164 8342  2 36 61  0  0  0
 4  0      0 4128044   4832 454068    0    0     0    16 4989 8101  3 36 60  0  0  0
 5  0      0 4127036   4832 455596    0    0     0    16 5022 8115  3 36 60  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 4125776   4832 457040    0    0     0    16 5227 8451  4 36 61  0  0  0
 0  0      0 4124264   4832 458208    0    0     0    16 5412 8599  3 37 60  0  0  0
 3  0      0 4123004   4840 459816    0    0     0   188 5189 8418  4 36 59  1  0  0
 3  0      0 4120988   4840 461140    0    0     0    16 5327 8434  5 36 60  0  0  0
10  0      0 4119728   4840 462540    0    0     0    16 5497 8620  3 34 62  0  0  0
 7  0      0 4118720   4840 463784    0    0     0    16 5025 8052  3 38 59  0  0  0
 9  0      0 4117460   4840 465296    0    0     0    16 5325 8350  3 34 63  0  0  0
 1  0      0 4115948   4848 466652    0    0     0   316 5203 8463  3 36 60  1  0  0
 4  0      0 4114436   4848 467920    0    0     0    16 5580 8584  3 33 64  0  0  0
 2  0      0 4113176   4848 469392    0    0     0    16 4797 7787  2 39 59  0  0  0
 2  0      0 4111412   4848 470804    0    0     0    16 5127 8225  3 36 60  0  0  0
 9  0      0 4110152   4848 472032    0    0     0    16 5403 8566  3 33 64  0  0  0
 4  0      0 4108892   4856 473380    0    0     0   192 4898 8065  3 36 60  1  0  0
 5  0      0 4106876   4856 474836    0    0     0    16 4993 8145  4 34 62  0  0  0
 3  0      0 4105616   4856 476304    0    0     0    16 5320 8532  4 38 58  0  0  0
 3  0      0 4104860   4856 477512    0    0     0    16 5315 8385  3 35 62  0  0  0
 2  0      0 4102088   4856 478976    0    0     0    16 5521 8791  3 34 63  0  0  0
12  0      0 4100828   4864 480384    0    0     0   152 5640 8808  3 34 62  0  0  0
 3  0      0 4099568   4864 481860    0    0     0    20 5419 8413  3 35 62  0  0  0
 5  1      0 4098056   4864 483136    0    0     0    16 5252 8347  3 34 63  0  0  0
 6  1      0 4096040   4864 484380    0    0     0    24 5436 8571  3 32 65  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  1      0 4095032   4864 485920    0    0     0    12 5296 8386  3 34 63  0  0  0
10  0      0 4094024   4872 487316    0    0     0   292 5037 8338  3 39 58  1  0  0
 9  0      0 4092260   4872 488744    0    0     0    12 5531 8652  3 35 62  0  0  0
 2  0      0 4091252   4872 489972    0    0     0    16 5025 8179  3 38 59  0  0  0
 0  0      0 4089488   4872 491660    0    0     0    16 5784 8879  4 31 65  0  0  0
 3  0      0 4087976   4872 493016    0    0     0    16 5103 8236  3 38 59  0  0  0
 8  0      0 4086716   4880 494276    0    0     0   336 5291 8379  3 37 59  0  0  0
 1  0      0 4085708   4880 495816    0    0     0    16 5852 9030  4 34 62  0  0  0
 8  0      0 4083440   4880 497252    0    0     0    16 5766 8957  3 33 64  0  0  0
 4  0      0 4082432   4880 498792    0    0     0    16 5376 8503  3 34 63  0  0  0
 1  0      0 4081172   4880 500192    0    0     0    16 5102 8130  3 36 61  0  0  0
 6  0      0 4080164   4892 501348    0    0     0   380 5095 8108  3 39 58  1  0  0
 7  0      0 4078400   4892 502740    0    0     0    16 5309 8430  3 36 60  0  0  0
 4  0      0 4077392   4892 504072    0    0     0    16 5307 8380  2 35 62  0  0  0
10  0      0 4075628   4892 505528    0    0     0    16 5581 8838  3 33 64  0  0  0
 5  0      0 4074116   4892 507156    0    0     0    16 5521 8673  3 35 63  0  0  0
 7  0      0 4072856   4900 508392    0    0     0   320 5551 8745  3 35 61  1  0  0
 7  0      0 4071596   4900 509764    0    0     0    16 5230 8419  3 38 59  0  0  0
 2  0      0 4069832   4900 511456    0    0     0    16 5738 8772  3 33 64  0  0  0
 3  0      0 4068824   4900 512860    0    0     0    16 5648 8820  3 33 64  0  0  0
 6  0      0 4067312   4900 514272    0    0     0    16 5297 8470  3 36 61  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  2      0 4065800   4908 515684    0    0     0   420 5270 8440  3 37 60  0  0  0
 4  0      0 4064288   4908 516840    0    0     0    16 5148 8272  3 37 61  0  0  0
 1  0      0 4063028   4908 518408    0    0     0    16 5031 8305  3 37 59  0  0  0
 4  0      0 4061292   4908 519740    0    0     0    16 5415 8637  3 33 64  0  0  0
11  0      0 4059780   4908 521256    0    0     0    16 5524 8648  2 35 63  0  0  0
 8  0      0 4058268   4912 522640    0    0     0   328 5045 8181  3 37 60  0  0  0
12  0      0 4057260   4916 524052    0    0     0    52 5381 8469  3 37 60  1  0  0
16  0      0 4055496   4916 525420    0    0     0    16 5034 8242  3 36 61  0  0  0
 2  0      0 4054236   4916 526892    0    0     0    16 5462 8686  3 34 63  0  0  0
 1  0      0 4048944   4916 528252    0    0     0    16 5456 8642  3 32 65  0  0  0
 4  1      0 4047432   4920 529704    0    0     0   336 5224 8449  4 38 57  1  0  0
 7  0      0 4046424   4924 531056    0    0     0    20 4849 8003  2 39 58  0  0  0
 2  0      0 4044156   4924 532448    0    0     0    16 5703 9007  3 32 65  0  0  0
 4  0      0 4042392   4924 533920    0    0     0    16 5264 8341  3 36 61  0  0  0
 6  0      0 4041132   4924 535040    0    0     0    16 5067 8160  3 38 60  0  0  0
15  0      0 4039620   4924 536580    0    0     0   424 4894 8032  3 38 58  1  0  0
 2  0      0 4038108   4932 538036    0    0     0    68 5291 8477  2 39 58  1  0  0
 4  0      0 4037100   4932 539324    0    0     0    16 4877 8085  2 35 62  0  0  0
