filesystem,record_size,scenario,rounds,target_ops_mean,requests_mean,avg_ms_mean,avg_ms_stdev,p50_ms_mean,p90_ms_mean,p99_ms_mean,max_ms_mean,disk_util_mean,disk_await_mean,cpu_iowait_mean,bottleneck_rounds
ext4,1024,scenario_a,5,40000,194569,10.134,0.04159326868617079,9.218,18.266000000000002,28.284,93.486,8.922857142857143,0.0,0.768944099378882,0
ext4,1024,scenario_b,5,40000,199053.4,10.172,0.08467585252006654,9.284,18.054,28.266,108.354,9.027900621118013,0.0,0.7105590062111802,0
ext4,10240,scenario_a,5,16000,203820,9.082,0.19537144110642166,7.476,17.28,38.786,185.23,13.556770186335404,0.0,0.8720496894409938,0
ext4,10240,scenario_b,5,16000,211013.8,8.638,0.2425283488584372,6.8759999999999994,16.532,40.976,233.63,13.582347826086957,0.0,0.760248447204969,0
ext4,102400,scenario_a,5,5000,166780.2,16.572,1.3866758813796396,11.302,29.86,104.174,473.886,20.417668972274893,0.0,0.5860021093652757,0
ext4,102400,scenario_b,5,5000,167134.4,17.546,1.9749506322943875,10.724,33.318,130.618,490.358,19.943813519370195,0.0,0.4706909579823674,0
ext4,1024000,scenario_a,5,1000,12036,389.376,8.864932599856585,363.528,657.9,1138.152,1678.634,13.436512179211617,0.0,0.29162429769517634,0
ext4,1024000,scenario_b,5,1000,12663.4,457.836,11.849239638052731,406.628,742.422,1875.196,4048.3720000000003,20.818851704238803,0.0,0.7134794547639551,0
f2fs,1024,scenario_a,5,40000,194865.6,10.006,0.11631852818876261,9.138,18.034,27.316000000000003,81.916,4.042819875776398,0.0,0.41490683229813663,0
f2fs,1024,scenario_b,5,40000,199279.6,10.054,0.04449719092257395,9.246,17.886,27.228,122.062,3.7976273291925464,0.0,0.12173913043478261,0
f2fs,10240,scenario_a,5,16000,202299.2,8.53,0.13019216566291522,7.36,16.558,29.786,87.12,9.18127950310559,0.0,0.23229813664596274,0
f2fs,10240,scenario_b,5,16000,211612.8,8.054,0.1451895313030522,6.796,15.898,29.812,101.318,10.265018633540372,0.0,0.16521739130434782,0
f2fs,102400,scenario_a,5,5000,177952.8,13.176,0.12136721138759013,10.991999999999999,24.144,48.53,133.364,28.290794062917588,0.0,0.5750657519472447,0
f2fs,102400,scenario_b,5,5000,178364.8,12.544,0.14876155417311315,10.244,23.06,49.548,156.918,26.95679542718474,0.0,0.4472489247638668,0
f2fs,1024000,scenario_a,5,1000,13121.6,376.302,8.453113036035887,363.186,559.974,830.886,1317.648,20.173337255554568,0.0,0.43182025148103026,0
f2fs,1024000,scenario_b,5,1000,13385.2,443.268,23.30910809104459,398.348,638.782,1964.748,3572.792,25.743257670726344,0.0,0.8014387118795856,0
