procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 10852828   6064 289116    0    0   455  2327 3591   13  5 19 76  1  0  0
 5  0      0 10859948   6124 289132    0    0    36    64 1348 1124  0  1 98  0  0  0
 0  0      0 10867740   6148 289140    0    0     0   172 1110  762  0  1 99  0  0  0
 3  0      0 10834224   6304 295116    0    0  6136    32 6722 6422 15  9 73  2  0  0
 9  0      0 10840380   6328 309448    0    0   692    80 6704 11456 46 25 28  1  0  0
12  0      0 10765816   6360 326892    0    0     0   224 7183 12449 48 30 23  0  0  0
 8  0      0 10727428   6376 336392    0    0     0    96 4215 6873 24 18 58  0  0  0
16  0      0 10681380   6400 352776    0    0     0 22784 7296 10583 42 29 29  0  0  0
 5  0      0 10660996   6416 365868    0    0     0 10400 5770 8605 28 30 41  1  0  0
 3  0      0 10643636   6996 379832    0    0  1360   160 5369 8256 21 33 45  1  0  0
 4  0      0 10609364   7060 395944    0    0   160   460 6485 10201 37 36 26  1  0  0
 7  0      0 10572852   7076 412020    0    0     0    96 6765 11866 40 32 28  0  0  0
 9  0      0 10544948   7092 427648    0    0     0    96 6184 10528 29 41 30  0  0  0
13  0      0 10527572   7116 438308    0    0     0 98636 4143 7725 16 56 27  2  0  0
11  0      0 10514720   7132 451708    0    0     0    96 5248 9114 13 51 36  0  0  0
 8  0      0 10501868   7180 464436    0    0     0   480 4971 8662  9 53 36  2  0  0
 7  0      0 10488036   7196 477840    0    0     0    96 5544 9271 10 52 38  0  0  0
 7  0      0 10457688   7212 492392    0    0     0    96 5810 9870 25 41 34  0  0  0
 2  0      0 10446844   7228 505792    0    0     0   460 5195 8859  9 53 38  0  0  0
 8  0      0 10438360   7244 518244    0    0     0    96 4748 8362  6 56 37  0  0  0
 2  0      0 10423492   7284 529908    0    0     0   296 4806 8353  8 51 40  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 10412936   7300 543456    0    0     0    96 4955 8708  7 51 41  1  0  0
10  0      0 10400560   7316 555724    0    0     0    96 4734 8406  5 55 40  0  0  0
 9  0      0 10387988   7332 568200    0    0     0   196 5006 8732  5 52 42  1  0  0
 9  0      0 10372676   7348 582288    0    0     0   108 5594 9942  6 44 50  0  0  0
 3  0      0 10359376   7388 595360    0    0     0   320 5093 9108  6 46 47  1  0  0
 8  0      0 10344544   7404 608164    0    0     0   104 5094 9006  7 48 45  0  0  0
 4  0      0 10330972   7420 621624    0    0     0    96 4950 9012  6 49 45  1  0  0
 5  0      0 10317392   7436 634676    0    0     0   148 5418 9485  6 46 48  0  0  0
 9  0      0 10283624   7452 648008    0    0     0    96 5291 9105  5 48 46  1  0  0
 4  0      0 10244564   7492 661064    0    0     8   228 4781 8741  7 52 41  1  0  0
 4  0      0 10210796   7516 673980    0    0     0   132 5087 9169 10 47 42  1  0  0
 5  0      0 10199960   7532 687212    0    0     0    96 5269 9155  6 48 46  0  0  0
15  0      0 10189736   7548 699848    0    0     0   148 4606 8426  5 50 45  1  0  0
 3  0      0 10176132   7564 712328    0    0     0    96 4904 8794  5 49 45  0  0  0
 6  0      0 10162804   7596 724848    0    0     0   232 5089 9087  6 47 46  1  0  0
 2  0      0 10148968   7620 737356    0    0     0   132 4665 8458  5 50 44  1  0  0
 2  0      0 10135164   7636 750548    0    0     0    96 5447 9478  9 46 44  0  0  0
 7  0      0 10102964   7652 763792    0    0     0   152 5102 9038  6 51 43  0  0  0
 2  0      0 10089368   7668 776876    0    0     0   900 4882 8843  5 51 43  1  0  0
 4  0      0 10076092   7700 789048    0    0     8   228 4730 8632  5 49 44  1  0  0
 4  0      0 10062288   7724 802440    0    0     0   128 5274 9412  8 48 43  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 10049448   7740 815168    0    0     0    96 5030 8782  6 46 47  1  0  0
 3  0      0 10035364   7756 829144    0    0     0   168 5725 9878  8 45 46  0  0  0
 5  0      0 10022792   7832 841180    0    0     0 65632 4691 8216  5 50 44  2  0  0
12  1      0 10011284   7888 850932    0    0     0 163476 2926 6483  4 70 18  8  0  0
 6  0      0 9985384   7912 861208    0    0     0 179356 2862 6733  4 68 22  6  0  0
 6  0      0 9946588   7928 873168    0    0     0 10448 4799 8879  6 49 44  1  0  0
 3  0      0 9906016   7944 886860    0    0     0   148 5369 9302  5 48 46  0  0  0
 6  0      0 9870260   7960 900168    0    0     0    96 5177 9379  6 49 45  1  0  0
 4  0      0 9857660   7992 913120    0    0     0   228 5311 9297  6 47 46  1  0  0
13  0      0 9844556   8016 926600    0    0     0   124 4976 8889  4 49 46  1  0  0
 5  0      0 9831228   8032 940012    0    0     0    96 5077 9192  6 48 46  0  0  0
 9  0      0 9816108   8048 953592    0    0     0   164 5673 9594  6 46 47  0  0  0
 4  0      0 9803004   8064 967144    0    0     0   104 5054 9004  7 48 44  1  0  0
11  0      0 9790908   8096 979976    0    0     0   232 4903 8762  7 49 43  1  0  0
 6  0      0 9777832   8120 992268    0    0     0   144 4976 8776  5 49 45  1  0  0
 4  0      0 9763412   8136 1005932    0    0     0    96 5254 9243  5 48 46  1  0  0
10  0      0 9745776   8152 1018992    0    0     0    96 5132 8975  5 49 45  0  0  0
11  0      0 9732956   8168 1031568    0    0     0   168 5058 8896  7 49 43  1  0  0
 7  0      0 9703220   8200 1044532    0    0     0   220 4807 8636  4 50 45  1  0  0
 7  0      0 9661912   8224 1057580    0    0     0   124 5052 8955  4 52 44  0  0  0
 3  0      0 9621088   8240 1070940    0    0     0    96 5132 9082  5 50 45  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 9581776   8256 1084068    0    0     0    96 5351 9109  6 47 47  0  0  0
 5  0      0 9542212   8272 1097504    0    0     0   144 5207 8981  5 49 45  1  0  0
 9  0      0 9501640   8304 1110748    0    0     0   232 5150 9081  6 49 45  0  0  0
12  0      0 9462356   8328 1123592    0    0     0   132 5172 8940  5 49 46  1  0  0
 4  0      0 9423324   8344 1136412    0    0     0    96 5087 8927  5 51 44  1  0  0
 1  0      0 9382304   8360 1149740    0    0     0    96 5004 8934  4 53 44  0  0  0
11  0      0 9341492   8376 1163872    0    0     0   148 5399 9454  5 50 44  1  0  0
 7  1      0 9298684   8436 1177860    0    0     4   492 5078 9197  6 51 42  2  0  0
 6  0      0 9276760   8456 1191196    0    0     0   100 5118 9224  5 50 44  1  0  0
 4  0      0 9263936   8472 1204112    0    0     0   996 5013 9016  4 52 43  0  0  0
 3  0      0 9250608   8488 1217216    0    0     0   108 5255 9151  5 49 45  0  0  0
 6  0      0 9236752   8504 1231000    0    0     0   360 5449 9441  5 49 46  0  0  0
 4  1      0 9224404   8536 1243824    0    0     0   244 5003 8927  5 49 45  1  0  0
 7  0      0 9210824   8552 1257204    0    0     0    96 5199 9321  5 49 45  1  0  0
 5  0      0 9197748   8568 1269964    0    0     0    96 4806 8603  6 49 45  0  0  0
 9  0      0 9186688   8584 1280956    0    0     0 113712 3821 7474  4 58 34  3  0  0
 8  2      0 9178980   8600 1291424    0    0     0 170764 2983 6702  3 69 23  5  0  0
 5  0      0 9168628   8624 1302260    0    0     0 139356 3260 6974  5 57 29  9  0  0
 6  0      0 9154828   8648 1315320    0    0     0   136 5078 8978  5 49 46  0  0  0
 9  0      0 9138476   8664 1329636    0    0     0    96 5241 9536  9 46 45  1  0  0
 7  0      0 9121128   8680 1345084    0    0     0   104 6148 10682 14 41 44  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 9108276   8696 1358052    0    0     0    96 4994 8885  5 48 46  1  0  0
 2  0      0 9094920   8728 1371096    0    0     0   232 5559 9466  5 46 49  0  0  0
 7  0      0 9081564   8752 1383980    0    0     0   116 5099 8992  5 50 44  1  0  0
 7  0      0 9067704   8768 1397660    0    0     0    96 5306 9319  4 48 47  1  0  0
 0  0      0 9053872   8784 1411132    0    0     0    96 5090 9245  4 48 48  1  0  0
11  0      0 9040768   8800 1424372    0    0     0    96 5215 9226  5 48 47  0  0  0
12  1      0 9027468   8836 1437428    0    0     0   236 5037 9015  4 48 47  1  0  0
 8  0      0 9013368   8856 1451200    0    0     0   100 5367 9252  5 46 48  0  0  0
 4  0      0 8997552   8872 1463908    0    0     0    96 4699 8510  5 49 46  0  0  0
 7  0      0 8968852   8888 1477120    0    0     0    96 5085 9110  5 48 46  0  0  0
 6  0      0 8932844   8904 1490164    0    0     0    96 5032 8741  4 51 45  1  0  0
 7  0      0 8896080   8944 1502944    0    0     0   244 4878 8837  4 50 45  1  0  0
 2  0      0 8856024   8960 1515964    0    0     0    96 5322 9063  5 48 47  1  0  0
 3  0      0 8816964   8976 1528928    0    0     0    96 4855 8728  4 51 44  0  0  0
 4  0      0 8777176   8992 1542360    0    0     0    96 5189 9077  5 50 45  0  0  0
 4  0      0 8735848   9008 1556016    0    0     0    96 5481 9424  6 48 46  1  0  0
 1  0      0 8695556   9040 1569052    0    0     0   236 5198 9189  5 49 46  1  0  0
 6  0      0 8655744   9064 1582204    0    0     0   116 4946 8909  6 48 45  0  0  0
 3  0      0 8643648   9080 1595132    0    0     0    96 5037 9023  4 48 48  0  0  0
 7  0      0 8630040   9096 1608228    0    0     0    96 5011 9117  5 50 44  1  0  0
 4  0      0 8616936   9112 1621656    0    0     0    96 5352 9341  5 47 47  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
