procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 10840272   6284 291452    0    0   461  9799 4099   17  6 25 69  1  0  0
 0  0     12 10852376   6352 291532    0    0    36   104 1458 1152  0  0 99  0  0  0
 0  0     12 10859936   6368 291544    0    0     0   620 1331  855  0  1 98  0  0  0
 8  0     12 10839976   6524 297488    0    0  6392    32 6127 5541 16  9 73  2  0  0
14  0     12 10754336   7372 329136    0    0  1336  3732 6823 10850 41 28 28  3  0  0
 5  1     12 10651324   8344 370380    0    0   204  4368 7562 11117 35 34 25  6  0  0
 2  0     12 10572680   8376 410600    0    0    16   196 6260 6574 22 20 58  1  0  0
 8  0     12 10512744   8400 452044    0    0     0   176 6554 6278 19 21 60  0  0  0
 4  0     12 10448092   8416 492928    0    0     0 33424 6502 5999 31 21 48  0  0  0
14  0     12 10402804   8432 528608    0    0    64   404 6422 8014 34 18 47  0  0  0
 0  0     12 10350384   8448 571776    0    0     0    96 8097 8726 41 19 39  0  0  0
 5  0     12 10309344   8512 612636    0    0   152   432 6837 8262 26 27 47  1  0  0
11  0     12 10275812   8536 646584    0    0     0   168 5858 7440 17 25 57  1  0  0
 4  0     12 10240768   8552 686372    0    0     0 41056 6627 8130 23 37 40  0  0  0
 5  0     12 10199020   8636 723552    0    0    56 331128 4353 6960 20 54 25  2  0  0
 3  0     12 10103484   8652 764080    0    0     0   140 7593 8914 32 28 40  0  0  0
 6  0     12 10055412   8684 806992    0    0     0   200 8349 9702 41 24 35  1  0  0
 8  0     12 10016188   8708 848364    0    0     0   132 7345 8802 27 30 43  0  0  0
15  0     12 9975952   8724 888196    0    0     0    96 6969 8605 26 25 49  0  0  0
 6  0     12 9935928   8740 928296    0    0     0   144 7228 8644 28 29 43  0  0  0
 5  0     12 9835108   8756 969392    0    0     0    96 7179 8712 30 29 41  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0     12 9803888   8788 1005648    0    0     0   180 6872 8180 24 24 52  0  0  0
10  0     12 9727820   8812 1046044    0    0     0   132 6977 8381 26 27 46  1  0  0
10  0     12 9650452   8828 1084416    0    0     4    96 6835 8466 27 27 45  0  0  0
 3  0     12 9615728   8844 1124360    0    0     0   148 6887 8526 18 35 47  0  0  0
 9  0     12 9577212   8860 1165672    0    0     0    96 6279 8157 13 37 50  0  0  0
 2  0     12 9535196   8892 1206436    0    0     0   204 6481 8303 17 36 47  0  0  0
13  0     12 9462240   8916 1243652    0    0     0   144 6425 7762 13 32 54  1  0  0
 3  0     12 9376536   8952 1282624    0    0   680   180 5899 7642 16 41 41  3  0  0
 6  0     12 9286084   8968 1322116    0    0     0   256 6026 7733 10 43 47  0  0  0
14  0     12 9202904   8984 1360720    0    0     0    96 6062 7772 11 42 47  0  0  0
 8  0     12 9104124   9016 1400728    0    0     0   208 6195 8097  9 41 50  0  0  0
 3  0     12 9065952   9032 1441340    0    0   108    96 6570 8153 10 38 52  1  0  0
 2  0     12 9024656   9056 1481524    0    0     0   264 5798 7710 15 39 45  1  0  0
