procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10892104   5040 289584    0    0   472  4424 3844   15  5 22 72  1  0  0
 7  0      0 10893192   5040 289660    0    0     0    44 1352 1097  0  0 99  0  0  0
 2  0      0 10897060   5040 289692    0    0     0    16 1047  750  0  0 99  0  0  0
 7  0      0 10854920   5192 296252    0    0  6696    96 6235 5948 15 11 72  3  0  0
 9  0      0 10777804   5752 308572    0    0  2488  3080 5603 9838 49 31 17  3  0  0
17  3      0 10734700   5752 325664    0    0     0  4616 6586 13980 47 36 13  4  0  0
 5  0      0 10682576   5752 340668    0    0   220   712 6714 10970 38 26 35  1  0  0
 4  0      0 10626156   5752 361020    0    0     0    16 8280 13091 58 22 20  0  0  0
 6  1      0 10592920   5760 372740    0    0     0    64 5265 7606 17 31 52  0  0  0
12  0      0 10541288   5760 387364    0    0    64   184 6403 10839 33 31 35  0  0  0
 3  0      0 10477532   5760 402648    0    0     0    16 6196 12228 45 27 28  0  0  0
 7  0      0 10453648   5760 418108    0    0   152   444 6535 12885 42 25 33  0  0  0
 7  0      0 10435504   5760 433784    0    0     0    16 7146 14089 38 30 32  0  0  0
13  0      0 10422400   5772 446164    0    0     4   528 5489 10440 23 34 43  0  0  0
11  0      0 10400980   5772 462104    0    0    56    16 7192 12833 31 41 28  0  0  0
 4  0      0 10387372   5772 474176    0    0     0    16 5461 9969 18 36 45  0  0  0
 5  0      0 10373008   5772 488932    0    0    16   280 6636 11474 20 45 35  0  0  0
10  0      0 10358420   5772 503164    0    0     0    16 6132 11276 24 48 28  0  0  0
 9  0      0 10344084   5780 517248    0    0     0    40 5854 10662 15 47 37  0  0  0
 4  0      0 10330000   5780 530604    0    0     0    16 6108 11151 25 45 30  0  0  0
 9  0      0 10318748   5780 544508    0    0     0    16 5887 10564 18 47 34  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 10304136   5780 558524    0    0     4   276 5737 10968 17 51 32  0  0  0
 8  0      0 10290780   5780 571740    0    0     0    16 5360 10211 13 53 34  0  0  0
 5  0      0 10277676   5788 585068    0    0     0    40 5390 10257 10 57 33  0  0  0
 7  0      0 10259532   5788 598964    0    0     0    16 5970 10782 16 47 37  0  0  0
 5  0      0 10245672   5788 612472    0    0     0    16 5642 10536 14 51 35  0  0  0
 8  0      0 10233324   5788 625488    0    0     0   280 5487 10248 11 52 37  0  0  0
 8  0      0 10220952   5788 638724    0    0     0    16 5212 9954  9 52 39  0  0  0
 5  0      0 10205860   5796 652464    0    0     0   176 5527 10453 16 51 33  0  0  0
 2  0      0 10171336   5796 664148    0    0     0    20 5084 9603  8 45 47  0  0  0
 6  0      0 10145156   5796 677148    0    0     0    16 5190 10078  8 52 40  0  0  0
 3  0      0 10132556   5796 690368    0    0     0   316 5313 10240  8 51 40  1  0  0
 6  0      0 10092544   5796 703904    0    0     0    16 5833 11020  9 46 45  0  0  0
17  0      0 10045952   5804 716652    0    0     0   356 5367 10365  7 46 46  1  0  0
 8  0      0 9993816   5804 730480    0    0     0    16 5942 11067 11 50 38  0  0  0
 6  0      0 9934344   5804 746376    0    0     0    20 7322 13746 25 42 33  0  0  0
12  0      0 9921492   5804 760116    0    0     0   292 5614 10913  9 51 40  0  0  0
 8  0      0 9907884   5804 773416    0    0     0    16 5094 10370  8 53 39  0  0  0
 6  0      0 9892764   5812 788492    0    0     0    68 6480 12387 19 44 37  0  0  0
 8  0      0 9876928   5812 803420    0    0     0    16 6568 12516 19 44 36  0  0  0
 9  0      0 9863092   5820 817096    0    0    16    16 5735 11156  9 51 41  0  0  0
14  0      0 9849512   5820 830272    0    0     0   480 5734 10981  7 52 40  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 9832376   5820 844116    0    0     0    16 6055 11271 11 50 39  0  0  0
 4  0      0 9786048   5828 857384    0    0     0    84 5656 10637  8 52 40  0  0  0
 9  0      0 9737160   5836 870464    0    0     0    60 5337 10609  7 55 38  0  0  0
