procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 10900980   6400 288920    0    0   469  1920 3111   10  4 15 81  0  0  0
 3  0      0 10908628   6452 288988    0    0    36   168 1456 1131  0  1 99  0  0  0
 1  0      0 10911592   6476 289004    0    0     0   412 1305  868  0  1 98  0  0  0
 3  0      0 10827940   6632 295348    0    0  6560    32 6752 7244 13 13 71  3  0  0
14  0      0 10778352   7236 299680    0    0  1164  2616 5867 9996 44 29 24  3  0  0
14  0      0 10761748   7964 301252    0    0     0  3428 6093 10996 41 40 15  3  0  0
 6  0      0 10735540   8300 303388    0    0   220  1648 6350 9868 35 28 34  3  0  0
 9  0      0 10731256   8332 304604    0    0     0   624 5241 6597 23 27 50  0  0  0
 3  0      0 10711600   8348 306252    0    0     0    96 6319 7501 39 24 37  0  0  0
 4  0      0 10682116   8364 308048    0    0    64   100 6356 8809 41 22 36  0  0  0
 3  0      0 10655404   8428 309588    0    0   152   368 6154 9079 38 21 40  0  0  0
 8  0      0 10638520   8444 310940    0    0     0    96 6192 9601 30 33 38  0  0  0
11  0      0 10612564   8468 312376    0    0     0   812 5307 8640 28 34 38  0  0  0
 4  0      0 10606296   8484 313740    0    0     0    96 5570 8815 24 40 35  0  0  0
 7  0      0 10598988   8500 315000    0    0    56    96 5290 8240 18 25 56  1  0  0
 3  0      0 10597980   8532 316352    0    0     0   204 5544 8804 23 34 41  1  0  0
 2  0      0 10592688   8548 317736    0    0     0    96 5848 9069 22 38 39  0  0  0
 8  0      0 10584400   8572 319144    0    0     0 19132 6194 9311 43 28 29  1  0  0
 6  0      0 10563736   8588 320824    0    0     0    96 6319 9557 33 36 31  0  0  0
 6  0      0 10556680   8604 322504    0    0     0   100 6630 10040 36 32 31  1  0  0
 1  0      0 10554664   8636 324060    0    0     0   200 6345 9697 29 35 36  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0      0 10549624   8652 325452    0    0     0    96 6026 9426 35 33 31  0  0  0
 7  0      0 10530976   9036 326468    0    0   372   228 4460 7246 23 27 50  1  0  0
 7  0      0 10549336   9052 327844    0    0     0    96 4985 8347  8 49 43  0  0  0
 6  0      0 10548328   9068 329248    0    0     0   100 5747 9177 23 40 38  0  0  0
10  0      0 10546564   9100 330564    0    0     0   212 5336 8787 16 45 38  1  0  0
 5  0      0 10546312   9116 331880    0    0     0    96 5503 9079 19 42 39  0  0  0
 5  0      0 10545304   9140 333296    0    0     0   132 5851 9009 20 40 39  1  0  0
 8  0      0 10544548   9156 334688    0    0     4    96 5569 9368 10 39 51  0  0  0
 8  0      0 10543540   9172 335828    0    0     0   100 4959 8637  6 42 52  0  0  0
 1  0      0 10542784   9204 337376    0    0     0   208 5209 8898 14 41 45  1  0  0
 4  0      0 10541272   9220 338340    0    0     0    96 4699 8461  5 47 47  1  0  0
 4  0      0 10540012   9236 339968    0    0     0    96 5055 8850  6 42 52  0  0  0
 3  0      0 10539004   9260 341168    0    0     0   120 5657 9460  7 42 50  0  0  0
 4  0      0 10538248   9276 342712    0    0     0   100 4789 8513  6 45 48  1  0  0
 5  0      0 10536988   9308 344036    0    0     0   208 5082 8870  6 42 52  1  0  0
 2  0      0 10536232   9324 345092    0    0     0    92 4405 8145  5 46 49  0  0  0
 0  0      0 10535224   9340 346736    0    0     0   112 5466 9305 13 38 48  1  0  0
 8  0      0 10533964   9364 347676    0    0     0   128 4758 8451  7 43 49  1  0  0
 5  0      0 10532704   9380 349148    0    0     0   100 5078 8746 15 36 49  0  0  0
 5  0      0 10529932   9412 350400    0    0     8   200 4843 8624  9 46 44  1  0  0
 7  0      0 10528672   9428 351828    0    0     0    96 5231 9041  4 44 51  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 10527916   9444 353064    0    0     0    96 5129 8765  5 43 51  1  0  0
 4  0      0 10526656   9468 354492    0    0     0   384 5185 8843  5 44 50  1  0  0
 7  0      0 10525900   9484 355824    0    0     0   100 4898 8666 11 44 45  0  0  0
 6  0      0 10523380   9516 356948    0    0     0   216 4922 8746 10 38 52  1  0  0
 6  0      0 10522372   9532 358568    0    0     0    96 5124 8746  7 43 50  1  0  0
 2  0      0 10521112   9548 359672    0    0     0    96 4820 8383  5 43 51  0  0  0
 6  2      0 10520104   9572 360940    0    0     0 32892 4251 8030  3 50 45  2  0  0
 1  0      0 10518844   9588 362336    0    0     0  9208 4594 8107  5 46 48  1  0  0
 3  0      0 10517332   9620 363532    0    0     0   208 4280 7679  5 41 53  1  0  0
 2  0      0 10515820   9636 364676    0    0     0    96 5190 8821  7 43 50  0  0  0
 3  0      0 10514812   9652 366172    0    0     0   272 4507 7969  4 42 53  1  0  0
11  0      0 10513552   9680 367280    0    0     0   192 5018 8488  4 46 49  1  0  0
 6  0      0 10512292   9696 368756    0    0     0   120 4586 8232  4 44 52  0  0  0
 3  0      0 10511032   9728 369936    0    0     0   212 5046 8715  6 43 50  1  0  0
 9  0      0 10508512   9760 371432    0    0     0   152 4813 8547  8 47 45  1  0  0
 5  0      0 10507252   9776 372788    0    0     0    96 5198 8685  8 41 50  0  0  0
 2  0      0 10505740   9792 373780    0    0     0   148 4833 8537  5 43 52  0  0  0
 2  0      0 10503976   9808 375368    0    0     0   100 4778 8545  8 45 46  1  0  0
 3  0      0 10502996   9840 376544    0    0     0   212 4868 8502  3 47 49  1  0  0
 2  0      0 10502240   9864 377688    0    0     0   148 4670 8285  4 48 48  0  0  0
 7  0      0 10500728   9880 379248    0    0     0    96 5280 8771  4 43 52  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 10499720   9896 380168    0    0     0    96 4679 8321  3 45 51  1  0  0
 8  0      0 10497956   9912 381864    0    0     0   116 4906 8807  4 45 51  0  0  0
