procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10855728   4444 289016    0    0   471  4933 3920   16  6 23 71  1  0  0
 1  0      0 10867908   4480 289064    0    0    36    44 1348 1048  0  1 99  0  0  0
 1  0      0 10873704   4480 289064    0    0     0    16 1261  823  0  1 99  0  0  0
12  0      0 10804268   4632 295476    0    0  6648   344 6555 6585 14 11 72  3  0  0
11  0      0 10769016   4632 310776    0    0   180    24 6675 11903 52 26 21  0  0  0
11  0      0 10735276   4632 327264    0    0     0    16 6913 11367 39 26 35  0  0  0
 9  0      0 10656160   4632 343464    0    0     0   176 6258 10937 49 19 32  0  0  0
 5  0      0 10624688   4776 356100    0    0   144    16 5497 8406 27 23 49  0  0  0
17  0      0 10603076   4784 369556    0    0     0 12380 6157 8729 31 36 33  0  0  0
 8  0      0 10568356   4784 386848    0    0     0    16 7444 10758 36 33 31  0  0  0
10  0      0 10542084   4784 404996    0    0     0    16 7595 11288 46 29 25  0  0  0
 7  0      0 10509604   4784 421036    0    0   160   516 6940 11370 36 34 30  0  0  0
 6  1      0 10485456   5316 434860    0    0  1312    16 5803 10292 29 36 35  1  0  0
 6  0      0 10464648   5332 450236    0    0    52 20616 6249 10711 32 42 26  0  0  0
 9  0      0 10466556   5332 461068    0    0     0 116456 3632 7037  9 64 24  2  0  0
 6  0      0 10452260   5332 474028    0    0     0    16 5032 8851  9 53 38  0  0  0
 4  0      0 10439912   5332 486068    0    0     0   612 4984 8521  6 55 39  0  0  0
 3  0      0 10427088   5332 498864    0    0     0    16 5216 8817  7 52 41  0  0  0
 7  0      0 10412248   5332 511232    0    0     0    16 5001 8603 10 51 39  0  0  0
 5  0      0 10400684   5340 523208    0    0     0    36 4798 8404  7 54 39  1  0  0
 9  0      0 10388336   5340 535672    0    0     0    16 4986 8747  7 53 40  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 10375288   5340 547972    0    0     0   276 4948 8409  7 54 38  1  0  0
 4  0      0 10362184   5340 560400    0    0     0    16 5051 8715  8 53 39  0  0  0
 2  0      0 10348604   5340 572588    0    0     0    16 4868 8416  7 54 39  0  0  0
 6  0      0 10338388   5348 584424    0    0     0    36 4697 8433 10 53 38  0  0  0
 6  0      0 10326208   5452 597020    0    0   140    28 4776 8787  7 50 42  1  0  0
 7  0      0 10313332   5452 610512    0    0     0   272 5502 9626  8 46 45  0  0  0
 9  0      0 10301264   5452 622184    0    0     0    16 4464 8088  5 44 51  0  0  0
 4  0      0 10284348   5452 635468    0    0     0    16 5377 9471  7 47 46  0  0  0
 2  0      0 10248116   5460 647892    0    0     0   212 4839 8559  5 51 43  1  0  0
 8  0      0 10226696   5460 660712    0    0     0    16 5132 9074  5 48 46  0  0  0
10  0      0 10213592   5460 673536    0    0     0   280 5104 9013  5 50 45  1  0  0
 2  0      0 10201524   5460 686568    0    0     0    16 5154 9086  5 50 46  0  0  0
 9  0      0 10187972   5460 699200    0    0     0    16 5099 9080  7 48 45  0  0  0
 5  0      0 10173636   5468 711952    0    0     0   136 5110 9030  6 50 44  0  0  0
10  0      0 10160784   5468 725208    0    0     0    16 5343 9444  6 47 47  0  0  0
 7  0      0 10144908   5468 737352    0    0     0   272 4868 8722  5 48 46  1  0  0
 6  0      0 10131804   5468 750556    0    0     0    16 5498 9436  6 48 46  0  0  0
 4  0      0 10118448   5468 763852    0    0     0    16 5413 9301  5 47 48  0  0  0
 6  0      0 10105596   5476 776100    0    0     0   208 4854 8867  5 50 44  0  0  0
 6  0      0 10069308   5476 788776    0    0     8    16 5211 9019  6 50 44  0  0  0
12  0      0 10029772   5476 802456    0    0     0   276 5268 9383  9 48 43  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 9989228   5476 815636    0    0     0    16 5337 9448  6 49 45  0  0  0
 3  0      0 9966056   5476 828808    0    0     0   196 5287 9279  9 49 42  0  0  0
 4  0      0 9953204   5484 841860    0    0     0    72 5013 8895  5 49 45  0  0  0
11  0      0 9940100   5484 854416    0    0     0    16 5428 9399  6 46 48  0  0  0
