procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 10906232   4780 290828    0    0   459 20304 4139   17  7 24 68  1  0  0
 0  0     12 10909464   4816 290920    0    0    36    44 1433 1049  0  1 99  0  0  0
 1  0     12 10912696   4816 290936    0    0     0    16 1169  765  0  1 99  0  0  0
 2  1     12 10856560   4964 296964    0    0  6140   152 6265 5856 12  9 77  2  0  0
17  2     12 10708760   4964 337584    0    0  1588  2212 6021 9677 42 31 25  3  0  0
19  0     12 10310956   4964 501812    0    0     0  8096 5750 12668 50 40  7  2  0  0
 4  0     12 10108356   4964 642692    0    0   224  2004 6203 10942 42 30 27  1  0  0
 8  0     12 9951420   4964 786992    0    0     0    16 6222 9267 36 21 43  0  0  0
 9  0     12 9783624   4976 952996    0    0     0   436 7566 10731 40 33 27  0  0  0
17  0     12 9608136   4976 1074700    0    0    64    16 5720 9487 31 21 48  0  0  0
15  0     12 9439332   4976 1201660    0    0   152   964 5606 10848 38 32 30  0  0  0
14  0     12 9193024   4976 1348788    0    0     0  5436 6837 13074 38 35 27  0  0  0
13  0     12 9017328   4976 1471660    0    0     0 138444 4668 10433 29 53 16  1  0  0
 8  0     12 8796028   4988 1608704    0    0     0 221472 5782 11554 30 47 22  0  0  0
12  0     12 8523192   4988 1759196    0    0    56 73868 6892 12762 34 44 21  0  0  0
 8  0     12 8332308   4988 1916300    0    0     0 167928 6438 13712 39 43 18  0  0  0
 7  1     12 8184712   4988 2063440    0    0     0 179064 6170 12938 32 46 22  1  0  0
 5  0     12 8039404   4988 2205824    0    0     0 117124 6304 12305 33 43 23  0  0  0
14  0     12 7889964   4988 2342544    0    0     0 174592 5962 12407 25 44 31  0  0  0
 3  0     12 7653068   4996 2466304    0    0     0 342844 4939 10345 20 53 27  0  0  0
 7  0     12 7527564   4996 2588324    0    0     0 275644 4589 10440 19 60 20  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0     12 7373596   4996 2738456    0    0     4 103536 6594 12558 25 48 26  0  0  0
11  0     12 7188148   4996 2892076    0    0     0    16 7079 12458 22 49 29  0  0  0
 7  0     12 6917472   5008 3047800    0    0    16    64 7157 12448 23 48 28  0  0  0
12  0     12 6775720   5016 3189868    0    0     0 139516 6076 11849 24 54 22  1  0  0
 7  0     12 6630732   5016 3332320    0    0     0 131088 6105 11920 19 53 27  0  0  0
 6  0     12 6490924   5016 3468264    0    0     0 133024 5582 11048 19 56 24  1  0  0
 9  0     12 6289276   5016 3606716    0    0     0 133248 6079 11338 21 53 26  1  0  0
 9  0     12 6054936   5020 3741336    0    0     0 180596 5412 10995 19 59 22  0  0  0
 6  0     12 5919392   5032 3874464    0    0     0 198428 5288 11247 21 55 24  0  0  0
 8  0     12 5772252   5032 4023124    0    0     0 74416 6528 12201 21 50 30  0  0  0
 9  0     12 5621344   5032 4173108    0    0     0 154472 6222 12779 32 49 18  1  0  0
 9  0     12 5478864   5032 4309484    0    0     0 122172 6073 11827 24 50 26  0  0  0
13  1     12 5333592   5032 4454352    0    0     0 156328 6065 12234 22 55 23  0  0  0
10  0     12 5199168   5040 4590268    0    0     0 113776 6068 11465 22 49 29  1  0  0
11  0     12 5067160   5040 4720596    0    0     0 296636 5078 11479 27 58 15  0  0  0
 4  0     12 4932608   5040 4847732    0    0     4 254392 5081 10860 18 54 27  1  0  0
 5  0     12 4785944   5040 4994016    0    0     0    16 6620 11546 21 48 32  0  0  0
 5  0     12 4627384   5040 5145148    0    0     0    60 7179 12462 24 47 29  0  0  0
11  0     12 4218592   5736 5276288    0    0  1584 158704 5693 11205 18 61 20  1  0  0
11  0     12 4002188   5736 5416224    0    0     8 276024 5283 12358 20 61 18  0  0  0
 9  0     12 3852128   5736 5562916    0    0     0  9432 6439 11834 21 47 31  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0     12 3706020   5736 5707892    0    0     0 147532 6408 12015 22 53 25  0  0  0
 4  0     12 3571016   5736 5842588    0    0     0 139280 5881 11109 20 55 25  0  0  0
 4  0     12 3433236   5752 5977604    0    0     4 139848 5963 11429 24 51 24  1  0  0
 5  0     12 3294092   5752 6119860    0    0     0 280608 5258 11431 18 61 20  1  0  0
 5  0     12 3152284   5752 6263168    0    0     4 79880 6386 11719 19 51 29  0  0  0
 4  0     12 3003160   5752 6409956    0    0     0 73776 6469 11874 22 50 28  1  0  0
 1  0     12 2855860   5752 6558360    0    0     0 147612 6255 11989 21 54 24  0  0  0
 2  0     12 2719924   5760 6692784    0    0     0 147568 5840 11203 19 55 25  1  0  0
 5  0     12 2573468   5760 6822640    0    0     0 238160 5259 11033 18 59 22  1  0  0
11  0     12 2440248   5760 6951076    0    0     0 279944 4812 11167 17 57 25  1  0  0
10  0     12 2302576   5760 7091968    0    0     0 118648 5808 11642 18 50 32  1  0  0
 6  0     12 2152124   5760 7240632    0    0     0    16 6690 12470 19 46 34  0  0  0
 4  1     12 2004284   5768 7389864    0    0     0 66712 6564 12503 18 50 31  1  0  0
 4  1     12 1864552   5768 7523908    0    0     0 240896 5289 11118 17 56 26  1  0  0
 9  0     12 1684284   5768 7654248    0    0     0 314028 4995 11050 14 62 23  1  0  0
 9  0     12 1415992   5768 7812184    0    0     0 42748 7149 13174 19 45 35  0  0  0
 5  0     12 1261140   5768 7967708    0    0     0    16 7208 13038 20 44 36  0  0  0
11  0     12 1115576   5776 8113892    0    0     0 106936 6563 12700 18 49 32  1  0  0
13  1     12 981420   5776 8247352    0    0     4 231740 5527 11426 15 60 25  1  0  0
 8  0     12 843280   5776 8385152    0    0     0 242400 5122 11446 16 58 25  1  0  0
 2  0     12 686720   5776 8541744    0    0     0    16 7256 12996 19 45 36  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  4     12 543052   5776 8681760    0    0   168 161284 5777 12110 19 54 26  1  0  0
11  0     12 397684   5784 8804680    0    0     0 271144 4799 10491 13 56 28  2  0  0
15  2     12 185984   5784 8930100    0    0     0 389932 4729 10783 16 64 18  1  0  0
 8  0     12 151460   1724 8966216    0    0     0 236596 5410 12146 15 57 25  3  0  0
 8  0     12 191516   1716 8927740    0    0     0    16 7658 13570 23 43 34  0  0  0
 8  0     12 225968   1716 8892776    0    0     0    16 7660 14309 27 41 33  0  0  0
 4  0     12 163192   1724 8953444    0    0     0   132 7540 13407 19 45 36  0  0  0
 2  1     12 213960   1724 8901576    0    0     8 87360 6486 12395 16 51 31  1  0  0
 5  0     12 190160   1724 8922240    0    0     0 207312 5259 10506 18 46 36  1  0  0
 4  0     12 144612   1724 8969636    0    0     0 61456 6757 12528 17 50 33  0  0  0
11  0     12 212380   1724 8903048    0    0     0 137312 5760 11552 17 52 30  1  0  0
13  0     12 180436   1732 8934228    0    0     0 249912 5194 11292 20 58 21  1  0  0
 9  0     12 146616   1732 8965044    0    0     0 244312 4796 10891 17 61 21  1  0  0
10  0     12 191736   1732 8919924    0    0     0    16 7308 13312 19 44 37  0  0  0
 1  0     12 154344   1732 8958968    0    0     0 69728 6629 12033 17 48 35  0  0  0
11  1     12 211040   1732 8901992    0    0     0 147160 6010 11942 19 52 28  1  0  0
13  0     12 178580   1740 8934500    0    0     0 204996 5180 11387 17 58 24  1  0  0
10  1     12 154380   1740 8955520    0    0     0 275860 4596 10772 14 61 23  2  0  0
 3  0     12 216456   1740 8896024    0    0     0 161192 5644 11850 15 55 29  0  0  0
 7  0     12 166164   1740 8944520    0    0     0    20 7055 12883 20 45 35  0  0  0
 9  0     12 219144   1740 8891004    0    0     0 73920 6397 12573 17 51 31  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0     12 183424   1748 8926916    0    0     0 154128 5722 11566 17 53 29  1  0  0
10  1     12 145744   1748 8960264    0    0     4 279488 4568 10863 15 63 20  1  0  0
11  0     12 219180   1748 8886908    0    0     0 308904 4646 10714 16 60 23  1  0  0
 2  0     12 170676   1748 8936604    0    0     0 84492 6456 12717 17 48 34  0  0  0
 9  0     12 216776   1748 8892372    0    0     0    16 7156 13110 18 47 35  0  0  0
 4  0     12 166132   1760 8940164    0    0     0   172 7177 12889 17 44 39  0  0  0
 5  0     12 230876   1760 8875576    0    0     0 150144 5819 11642 17 52 29  2  0  0
 7  0     12 192852   1760 8911048    0    0     0 139296 5594 11204 16 51 31  1  0  0
 9  0     12 154008   1760 8951880    0    0     0 139280 6197 11950 17 51 31  1  0  0
18  0     12 219492   1760 8886060    0    0     0 131088 5885 11620 17 52 30  1  0  0
