filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,util_avg,util_max,await_avg,await_max,r_await_avg,w_await_avg,rkB_s_avg,wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,1024,scenario_a,1,200000,120,30,16,False,False,5,326614,3622.24,1.8,443879,0,0.16,0.0,0.01,5.27,14.58,60.35,81.64912087912089,90.59,0.0,0.0,0.0,8.814065934065933,0.0,0.0,4.6923076923076925,54.83516483516483,28.64835164835165,11.813186813186814,True,disk util avg 81.65% >= 80.00% | cpu iowait avg 11.81% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r1_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,2,200000,120,30,16,False,False,5,330803,3668.9,1.8,446779,0,0.16,0.0,0.01,5.1,14.21,35.73,81.54802197802198,90.6,0.0,0.0,0.0,8.677362637362638,0.0,0.0,4.78021978021978,54.68131868131868,28.912087912087912,11.538461538461538,True,disk util avg 81.55% >= 80.00% | cpu iowait avg 11.54% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r2_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,3,200000,120,30,16,False,False,5,331790,3680.01,1.8,448348,0,0.16,0.0,0.01,5.21,14.15,47.98,82.14769230769231,91.6,0.0,0.0,0.0,8.601648351648352,0.0,0.0,4.802197802197802,55.26373626373626,28.36263736263736,11.615384615384615,True,disk util avg 82.15% >= 80.00% | cpu iowait avg 11.62% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r3_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,4,200000,120,30,16,False,False,5,327031,3626.02,1.8,441623,0,0.16,0.0,0.01,5.28,14.69,44.19,81.91230769230769,90.69,0.0,0.0,0.0,8.765934065934067,0.0,0.0,4.6923076923076925,54.78021978021978,29.043956043956044,11.54945054945055,True,disk util avg 81.91% >= 80.00% | cpu iowait avg 11.55% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r4_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,5,200000,120,30,16,False,False,5,327833,3637.09,1.8,441932,0,0.16,0.0,0.01,5.29,14.95,39.25,81.07626373626374,91.2,0.0,0.0,0.0,8.707912087912089,0.0,0.0,4.9010989010989015,54.989010989010985,28.934065934065934,11.362637362637363,True,disk util avg 81.08% >= 80.00% | cpu iowait avg 11.36% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r5_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,1,200000,120,30,16,True,True,5,331870,3678.94,1.8,454717,0,0.14,0.0,0.01,4.65,15.18,71.14,86.89791208791209,95.8,0.0,0.0,0.0,9.701428571428572,0.0,0.0,8.252747252747254,53.23076923076923,24.87912087912088,13.648351648351648,True,disk util avg 86.90% >= 80.00% | cpu iowait avg 13.65% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r1_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,2,200000,120,30,16,True,True,5,332548,3687.73,1.8,456046,0,0.14,0.0,0.01,4.58,14.91,51.51,86.09120879120879,96.0,0.0,0.0,0.0,9.236813186813187,0.0,0.0,8.659340659340659,53.395604395604394,24.714285714285715,13.241758241758241,True,disk util avg 86.09% >= 80.00% | cpu iowait avg 13.24% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r2_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,3,200000,120,30,16,True,True,5,332754,3684.29,1.8,458828,0,0.14,0.0,0.01,4.48,14.51,64.21,86.90362637362638,94.2,0.0,0.0,0.0,9.534065934065934,0.0,0.0,8.472527472527473,53.13186813186813,24.835164835164836,13.516483516483516,True,disk util avg 86.90% >= 80.00% | cpu iowait avg 13.52% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r3_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,4,200000,120,30,16,True,True,5,335248,3713.26,1.9,458807,0,0.14,0.0,0.01,4.69,14.87,43.85,86.14532608695652,94.4,0.0,0.0,0.0,9.313804347826087,0.0,0.0,8.571428571428571,53.362637362637365,24.98901098901099,13.054945054945055,True,disk util avg 86.15% >= 80.00% | cpu iowait avg 13.05% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r4_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,5,200000,120,30,16,True,True,5,331214,3670.45,1.8,456127,0,0.14,0.0,0.01,4.65,15.0,50.64,87.36087912087912,94.2,0.0,0.0,0.0,9.542307692307693,0.0,0.0,8.131868131868131,53.31868131868132,24.835164835164836,13.714285714285714,True,disk util avg 87.36% >= 80.00% | cpu iowait avg 13.71% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r5_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
