filesystem,record_size,scenario,rounds,target_ops_mean,achieved_ops_mean,achieved_pct_mean,send_errors_mean,requests_mean,app_avg_mean,app_avg_stdev,app_avg_cv_pct,app_p50_mean,app_p90_mean,app_p99_mean,app_p99_stdev,app_p99_cv_pct,app_max_mean,block_util_mean,block_await_mean,block_await_stdev,block_await_cv_pct,block_wkB_s_mean,cpu_iowait_mean,bottleneck_rounds
ext4,1024,scenario_a,1,100000,1509.11,1.5,0,226774,37.73,0.0,0.0,28.08,71.26,249.53,0.0,0.0,759.06,5.195806451612903,8.518967741935484,0.0,0.0,1745.8869677419355,1.1096774193548387,0
ext4,1024,scenario_b,1,100000,1463.58,1.5,0,220044,32.25,0.0,0.0,24.76,64.75,148.18,0.0,0.0,527.2,5.4447712418300656,9.306535947712419,0.0,0.0,1663.0295424836602,0.9477124183006536,0
ext4,1024,scenario_a_dynamic,1,100000,1388.8,1.4,0,208677,40.7,0.0,0.0,31.17,81.75,188.53,0.0,0.0,660.12,45.883947368421055,17.91092105263158,0.0,0.0,2364.0926315789475,6.953947368421052,0
ext4,1024,scenario_b_dynamic,1,100000,1396.89,1.4,0,209888,41.63,0.0,0.0,31.61,83.44,219.52,0.0,0.0,708.56,45.32686274509804,17.72954248366013,0.0,0.0,2403.3882352941177,6.822368421052632,0
ext4,10240,scenario_a,1,10000,1501.51,15.0,0,225577,53.68,0.0,0.0,43.45,104.77,227.82,0.0,0.0,486.6,14.836601307189543,14.220261437908496,0.0,0.0,15113.369934640523,1.4078947368421053,0
ext4,10240,scenario_b,1,10000,1421.18,14.2,0,213548,37.33,0.0,0.0,29.26,78.09,157.8,0.0,0.0,428.74,12.649802631578947,10.56453947368421,0.0,0.0,13251.031578947368,1.388157894736842,0
ext4,10240,scenario_a_dynamic,1,10000,1301.54,13.0,0,195503,65.34,0.0,0.0,44.21,128.59,425.06,0.0,0.0,1066.1,51.281644736842104,22.48111842105263,0.0,0.0,13561.532631578948,8.078947368421053,0
ext4,10240,scenario_b_dynamic,1,10000,1330.71,13.3,0,200046,61.64,0.0,0.0,42.69,127.44,354.71,0.0,0.0,945.74,48.480526315789476,20.49269736842105,0.0,0.0,14117.38947368421,7.453947368421052,0
ext4,102400,scenario_a,1,1000,770.93,77.1,0,115894,9.19,0.0,0.0,5.99,18.27,68.28,0.0,0.0,221.92,18.814802631578946,6.051052631578948,0.0,0.0,79860.07578947369,0.5789473684210527,0
ext4,102400,scenario_b,1,1000,748.86,74.9,0,112381,8.47,0.0,0.0,5.83,18.25,47.09,0.0,0.0,155.22,19.037152317880796,6.343377483443708,0.0,0.0,76854.99761589404,0.5629139072847682,0
ext4,102400,scenario_a_dynamic,1,1000,745.28,74.5,0,111874,11.2,0.0,0.0,7.14,23.96,75.24,0.0,0.0,299.64,35.1787417218543,9.685298013245033,0.0,0.0,79533.67311258278,3.615894039735099,0
ext4,102400,scenario_b_dynamic,1,1000,750.36,75.0,0,112697,9.94,0.0,0.0,5.83,20.99,77.55,0.0,0.0,222.15,30.778552631578947,8.19967105263158,0.0,0.0,75367.47789473685,2.9407894736842106,0
ext4,1024000,scenario_a,1,100,93.01,93.0,0,13964,14.33,0.0,0.0,7.52,34.74,72.82,0.0,0.0,239.41,22.209276315789474,5.526776315789474,0.0,0.0,92539.8905263158,0.25,0
ext4,1024000,scenario_b,1,100,92.68,92.7,0,13912,15.36,0.0,0.0,9.49,34.39,81.18,0.0,0.0,194.07,20.454701986754966,6.102119205298013,0.0,0.0,89925.78119205298,0.33112582781456956,0
ext4,1024000,scenario_a_dynamic,1,100,92.52,92.5,0,13910,16.52,0.0,0.0,9.36,37.39,82.14,0.0,0.0,690.53,29.648618421052632,8.260263157894737,0.0,0.0,95604.14315789474,2.6776315789473686,0
ext4,1024000,scenario_b_dynamic,1,100,92.48,92.5,0,13882,17.58,0.0,0.0,11.46,37.61,91.97,0.0,0.0,207.72,30.568815789473685,7.986513157894737,0.0,0.0,95352.05052631578,2.622516556291391,0
f2fs,1024,scenario_a,1,100000,1464.18,1.5,0,220004,30.8,0.0,0.0,25.77,62.27,106.86,0.0,0.0,422.45,3.143881578947368,4.375,0.0,0.0,724.48,0.8552631578947368,0
f2fs,1024,scenario_b,1,100000,1507.26,1.5,0,226393,29.1,0.0,0.0,24.14,60.18,103.49,0.0,0.0,237.48,1.35625,2.8567763157894737,0.0,0.0,32.47157894736842,0.5657894736842105,0
f2fs,1024,scenario_a_dynamic,1,100000,1386.31,1.4,0,208337,41.98,0.0,0.0,34.22,87.61,151.47,0.0,0.0,265.45,48.51052631578948,15.015197368421052,0.0,0.0,1083.621052631579,6.197368421052632,0
f2fs,1024,scenario_b_dynamic,1,100000,1345.62,1.3,0,202244,40.09,0.0,0.0,32.41,84.1,147.46,0.0,0.0,278.57,45.88368421052632,14.49125,0.0,0.0,1065.9031578947368,5.723684210526316,0
