filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,app_avg_ms,app_p50_ms,app_p90_ms,app_p99_ms,app_p999_ms,app_max_ms,block_util_avg,block_util_max,block_await_avg,block_await_max,block_r_await_avg,block_w_await_avg,block_rkB_s_avg,block_wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,1024,scenario_a,1,100000,180,30,8,False,False,5,372005,2477.65,2.5,450634,0,12.83,9.96,26.08,56.26,148.98,330.37,7.533486842105263,488.3,5.170526315789473,67.75,0.0,5.170526315789473,0.0,2908.294736842105,7.223684210526316,56.296052631578945,35.953947368421055,0.45394736842105265,False,disk await avg 5.17 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_1024B_100000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,1,100000,180,30,8,True,False,5,361828,2409.12,2.4,434219,0,12.52,9.43,26.06,58.86,139.79,301.32,4.215986842105263,94.06,4.278486842105263,45.5,0.0,4.278486842105263,0.0,2779.1494736842105,8.539473684210526,54.71052631578947,36.2171052631579,0.4342105263157895,False,,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_1024B_100000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a_dynamic,1,100000,180,30,8,False,True,5,361170,2404.85,2.4,432122,0,15.29,11.5,31.83,67.65,189.16,422.7,25.481907894736842,97.82,8.458947368421052,38.69,0.0,8.458947368421052,0.0,3086.5515789473684,8.519736842105264,56.57236842105263,31.519736842105264,3.4342105263157894,False,disk await avg 8.46 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_dynamic_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_1024B_100000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b_dynamic,1,100000,180,30,8,True,True,5,346959,2310.4,2.3,416556,0,16.18,11.89,32.92,79.57,226.49,365.22,24.49532894736842,97.9,8.020263157894737,36.69,0.0,8.020263157894737,0.0,2984.3536842105264,9.453947368421053,55.63157894736842,31.763157894736842,3.223684210526316,False,disk await avg 8.02 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_dynamic_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_1024B_100000ops_measure_vmstat.txt.gz
ext4,10240,scenario_a,1,10000,180,30,8,False,False,5,363315,2419.54,24.2,436829,0,14.58,9.96,31.17,84.44,140.3,228.34,14.190197368421053,100.9,6.857105263157894,72.19,0.0,6.857105263157894,0.0,27039.663157894738,8.278145695364238,57.29139072847682,33.735099337748345,0.6887417218543046,False,disk await avg 6.86 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_10240B_10000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b,1,10000,180,30,8,True,False,5,367431,2447.73,24.5,442478,0,14.7,9.34,31.21,98.38,180.2,408.37,14.20342105263158,100.1,7.2075,92.69,0.0,7.2075,0.0,28430.416842105264,10.69078947368421,55.61842105263158,32.98684210526316,0.743421052631579,False,disk await avg 7.21 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_10240B_10000ops_measure_vmstat.txt.gz
ext4,10240,scenario_a_dynamic,1,10000,180,30,8,False,True,5,351284,2337.37,23.4,421187,0,20.68,12.58,42.63,152.16,253.09,414.63,31.643223684210525,100.5,10.486907894736841,34.57,0.0,10.486907894736841,0.0,24758.29894736842,9.68421052631579,56.55263157894737,29.94078947368421,3.8223684210526314,False,disk await avg 10.49 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_dynamic_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_10240B_10000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b_dynamic,1,10000,180,30,8,True,True,5,350480,2334.23,23.3,422342,0,21.93,12.34,43.6,183.43,295.28,507.81,30.006644736842105,99.6,10.123223684210526,34.67,0.0,10.123223684210526,0.0,22970.07157894737,11.401315789473685,55.5,29.625,3.473684210526316,False,disk await avg 10.12 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_dynamic_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_10240B_10000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a,1,1000,180,30,8,False,False,5,114281,761.28,76.1,136926,0,8.27,6.02,17.42,42.34,82.43,127.41,19.233576158940398,100.5,6.1087417218543045,21.43,0.0,6.1087417218543045,0.0,73166.15629139073,6.986754966887418,43.00662251655629,49.437086092715234,0.6291390728476821,False,disk await avg 6.11 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_102400B_1000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b,1,1000,180,30,8,True,False,5,112398,748.88,74.9,133881,0,8.52,5.78,18.35,48.26,87.82,169.97,19.04092715231788,101.5,5.7212582781456955,19.14,0.0,5.7212582781456955,0.0,75071.81350993378,10.66225165562914,43.735099337748345,45.0728476821192,0.4768211920529801,False,disk await avg 5.72 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_102400B_1000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a_dynamic,1,1000,180,30,8,False,True,5,111558,743.12,74.3,133112,0,13.05,7.36,27.22,104.79,219.58,425.12,34.8317880794702,100.1,9.812781456953642,26.72,0.0,9.812781456953642,0.0,75689.53642384105,8.57615894039735,46.0728476821192,41.66225165562914,3.7549668874172184,False,disk await avg 9.81 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_dynamic_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_102400B_1000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b_dynamic,1,1000,180,30,8,True,True,5,110735,737.77,73.8,132427,0,12.04,6.67,26.43,92.67,160.4,267.8,32.01304635761589,100.5,8.703774834437086,22.86,0.0,8.703774834437086,0.0,75058.18278145696,12.205298013245033,46.52317880794702,38.13245033112583,3.0927152317880795,False,disk await avg 8.70 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_dynamic_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_102400B_1000ops_measure_vmstat.txt.gz
