filesystem,record_size,scenario,round,profile,phase,occupancy_target_pct,fs_used_pct_before,fs_used_pct_after,valid,run_state,invalid_reasons,java_exit_code,target_ops,measure_sec,drain_timeout_sec,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,max_in_flight_records,max_catch_up_records,max_schedule_lag_limit_ms,sent_requests,sent_ops,ack_window_requests,ack_window_ops,eventual_ack_requests,eventual_ack_ops,outstanding_at_end,failed_requests,unresolved_after_drain,latency_dropped_samples,backpressure_wait_count,backpressure_wait_ms,max_observed_outstanding,catch_up_resets,catch_up_records_skipped,max_schedule_lag_ms,ack_stall_count,ack_stall_total_sec,ack_stall_max_sec,consumer_records,producer_acked_records,consumer_record_delta,consumer_drain_completed,malformed_headers,payload_crc_errors,sequence_gaps,duplicate_records,out_of_order_records,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,drain_time_sec,drain_completed,app_avg_ms,app_p50_ms,app_p90_ms,app_p99_ms,app_p999_ms,app_max_ms,mapper_util_avg,mapper_await_avg,mapper_wkB_s_avg,raw_util_avg,raw_await_avg,raw_wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,topics_created,topics_failed,final_topic_count,topic_first_failure_elapsed_ms,topic_first_failure,raw_output_path,iostat_path,vmstat_path
ext4,1024,scenario_a,1,latency,occupancy,20,19.999669356588587,22.261476942788356,True,BACKPRESSURED,,0,20000,60,180,20,8,False,False,5,1000,10,100,147762,2462.7,146765,2446.08,147762,2462.7,327,0,0,0,68297,485558.45,1003,50773,1376569,716.75,0,0,0,-1,-1,0,True,0,0,0,0,0,147762,2462.7,12.3,198127,0,0.31,True,404.69,341.67,933.05,1286.98,1462.72,1519.33,0.0,0.0,0.0,3.195,3.2518333333333334,1753.2586666666666,8.483333333333333,59.18333333333333,31.916666666666668,0.35,False,,0,0,1,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_a_1024B_20000ops_occupancy_used20pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used20pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used20pct_vmstat.txt.gz
ext4,1024,scenario_a,1,latency,occupancy,40,40.000661286822826,39.74734710325374,True,BACKPRESSURED,,0,20000,60,180,20,8,False,False,5,1000,10,100,138213,2303.55,137216,2286.93,138213,2303.55,209,0,0,0,64637,481798.29,1003,48376,1382206,397.43,0,0,0,-1,-1,0,True,0,0,0,0,0,138213,2303.55,11.5,193531,0,0.15,True,431.59,173.15,1239.25,1819.3,2466.81,2662.02,0.0,0.0,0.0,4.925333333333334,5.394666666666667,2978.9866666666667,8.9,56.56666666666667,33.833333333333336,0.5666666666666667,False,disk await avg 5.39 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_a_1024B_20000ops_occupancy_used40pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used40pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used40pct_vmstat.txt.gz
ext4,1024,scenario_a,1,latency,occupancy,60,59.995329661813784,59.915148634546036,True,BACKPRESSURED,,0,20000,60,180,20,8,False,False,5,1000,10,100,148877,2481.28,147878,2464.63,148877,2481.28,406,0,0,0,67081,478188.32,1004,50304,1369260,425.89,0,0,0,-1,-1,0,True,0,0,0,0,0,148877,2481.28,12.4,205676,0,0.32,True,399.64,281.05,1119.24,1672.99,1830.9,1979.83,0.0,0.0,0.0,5.011666666666667,4.777333333333333,3179.008,8.7,58.56666666666667,32.233333333333334,0.2833333333333333,False,,0,0,2,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_a_1024B_20000ops_occupancy_used60pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used60pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used60pct_vmstat.txt.gz
ext4,1024,scenario_a,1,latency,occupancy,80,79.99987600872072,79.95871090399976,True,BACKPRESSURED,,0,20000,60,180,20,8,False,False,5,1000,10,100,162497,2708.28,161498,2691.63,162497,2708.28,484,0,0,0,74777,482331.39,1003,51996,1354047,420.26,0,0,0,-1,-1,0,True,0,0,0,0,0,162497,2708.28,13.5,219908,0,0.37,True,368.25,168.22,1031.36,1649.41,1872.94,1933.33,0.0,0.0,0.0,4.773666666666667,5.052,3440.128,9.566666666666666,57.9,32.06666666666667,0.38333333333333336,False,disk await avg 5.05 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_a_1024B_20000ops_occupancy_used80pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used80pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_1024B_20000ops_occupancy_used80pct_vmstat.txt.gz
ext4,1024,scenario_b,1,latency,occupancy,20,19.998677426354348,22.466930492555356,True,BACKPRESSURED,,0,20000,60,180,20,8,True,False,5,1000,10,100,156908,2615.13,155913,2598.55,156908,2615.13,128,0,0,0,72436,482524.14,1003,51008,1358886,533.34,0,0,0,215564,215564,0,True,0,0,0,0,0,156908,2615.13,13.1,215564,0,0.13,True,381.45,289.92,913.7,1396.19,1649.59,1787.28,0.0,0.0,0.0,4.5085,4.3455,3403.4346666666665,10.016666666666667,56.983333333333334,32.483333333333334,0.48333333333333334,False,,0,0,2,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_b_1024B_20000ops_occupancy_used20pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used20pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used20pct_vmstat.txt.gz
ext4,1024,scenario_b,1,latency,occupancy,40,39.74829770306155,39.96457982455234,True,BACKPRESSURED,,0,20000,60,180,20,8,True,False,5,1000,10,100,158025,2633.75,157028,2617.13,158025,2633.75,621,0,0,0,71217,483283.96,1004,50137,1362562,384.43,0,0,0,212531,212531,0,True,0,0,0,0,0,158025,2633.75,13.2,212531,0,0.58,True,376.71,297.39,815.06,1251.51,1430.8,1495.08,0.0,0.0,0.0,4.356166666666667,4.626833333333333,2963.968,9.85,56.31666666666667,33.266666666666666,0.43333333333333335,False,,0,0,2,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_b_1024B_20000ops_occupancy_used40pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used40pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used40pct_vmstat.txt.gz
ext4,1024,scenario_b,1,latency,occupancy,60,59.91609923435385,60.11725441977248,True,BACKPRESSURED,,0,20000,60,180,20,8,True,False,5,1000,10,100,166025,2767.08,165027,2750.45,166025,2767.08,655,0,0,0,75931,485151.42,1003,51686,1350926,479.95,0,0,0,223357,223357,0,True,0,0,0,0,0,166025,2767.08,13.8,223357,0,0.93,True,362.94,128.97,1107.41,1736.14,1981.79,2084.43,0.0,0.0,0.0,2.803,3.070666666666667,1643.008,10.716666666666667,56.36666666666667,32.46666666666667,0.3,False,,0,0,2,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_b_1024B_20000ops_occupancy_used60pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used60pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used60pct_vmstat.txt.gz
ext4,1024,scenario_b,1,latency,occupancy,80,79.95966150380757,79.98317851644434,True,BACKPRESSURED,,0,20000,60,180,20,8,True,False,5,1000,10,100,161521,2692.02,160522,2675.37,161521,2692.02,570,0,0,0,75634,479639.0,1004,51719,1352160,391.96,0,0,0,222021,222021,0,True,0,0,0,0,0,161521,2692.02,13.5,222021,0,0.56,True,370.82,134.52,1105.21,1641.11,2164.58,2320.2,0.0,0.0,0.0,2.7941666666666665,2.9831666666666665,1771.6906666666666,11.166666666666666,56.36666666666667,32.06666666666667,0.36666666666666664,False,,0,0,2,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_b_1024B_20000ops_occupancy_used80pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used80pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_b_1024B_20000ops_occupancy_used80pct_vmstat.txt.gz
ext4,10240,scenario_a,1,latency,occupancy,20,19.999669356588587,35.73358407125365,True,BACKPRESSURED,,0,2000,60,180,20,8,False,False,5,1000,10,100,113372,1889.53,113348,1889.13,113372,1889.53,0,0,0,0,4919,57082.68,1003,603,9199,726.17,0,0,0,-1,-1,0,True,0,0,0,0,0,113372,1889.53,94.5,150510,0,0.0,True,189.35,31.4,628.8,1300.6,1616.01,1882.31,0.0,0.0,0.0,13.007166666666667,6.7595,22498.986666666668,11.766666666666667,56.5,30.966666666666665,0.75,False,disk await avg 6.76 ms >= 5.00 ms,0,0,1,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_a_10240B_2000ops_occupancy_used20pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used20pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used20pct_vmstat.txt.gz
ext4,10240,scenario_a,1,latency,occupancy,40,39.990370010642586,40.199873942199396,True,BACKPRESSURED,,0,2000,60,180,20,8,False,False,5,1000,10,100,114220,1903.67,114105,1901.75,114220,1903.67,0,0,0,0,2395,39261.0,1003,509,7274,384.47,0,0,0,-1,-1,0,True,0,0,0,0,0,114220,1903.67,95.2,152484,0,0.0,True,128.29,24.99,446.94,1219.61,1448.09,1543.22,0.0,0.0,0.0,15.354833333333334,8.601333333333333,23266.474666666665,9.3,57.96666666666667,31.966666666666665,0.8,False,disk await avg 8.60 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_082122/raw/r1_ext4_scenario_a_10240B_2000ops_occupancy_used40pct.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used40pct_iostat.txt.gz,results/kafka_fs_bench_20260906_082122/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used40pct_vmstat.txt.gz
